shape_type,measure,value
rounded,total_responses,12
rounded,blank_responses,0
rounded,unique_names,12
rounded,average_length,5.333333333333333
rounded,total_sounds,62

rounded,sound_class,count
rounded,sonorant,22
rounded,mid_vowel,11
rounded,voiced_stop,5
rounded,high_vowel,11
rounded,low_vowel,7
rounded,other,1
rounded,fricative,3
rounded,voiceless_stop,2

rounded,sound,count
rounded,m,9
rounded,o,11
rounded,n,2
rounded,g,1
rounded,b,4
rounded,i,3
rounded,l,6
rounded,u,8
rounded,r,5
rounded,a,7
rounded,c,1
rounded,sh,2
rounded,s,1
rounded,t,1
rounded,p,1

sharp,total_responses,12
sharp,blank_responses,0
sharp,unique_names,12
sharp,average_length,5.666666666666667
sharp,total_sounds,68

sharp,sound_class,count
sharp,fricative,10
sharp,low_vowel,11
sharp,voiceless_stop,21
sharp,high_vowel,12
sharp,sonorant,7
sharp,mid_vowel,5
sharp,voiced_stop,2

sharp,sound,count
sharp,s,3
sharp,a,11
sharp,k,9
sharp,i,11
sharp,t,8
sharp,p,4
sharp,h,2
sharp,n,3
sharp,o,3
sharp,e,2
sharp,r,4
sharp,u,1
sharp,z,4
sharp,b,1
sharp,f,1
sharp,g,1

mixed,total_responses,12
mixed,blank_responses,0
mixed,unique_names,12
mixed,average_length,5.833333333333333
mixed,total_sounds,70

mixed,sound_class,count
mixed,sonorant,15
mixed,mid_vowel,12
mixed,voiceless_stop,17
mixed,high_vowel,14
mixed,fricative,6
mixed,voiced_stop,2
mixed,low_vowel,3
mixed,affricate,1

mixed,sound,count
mixed,m,3
mixed,o,10
mixed,k,8
mixed,i,10
mixed,t,7
mixed,u,4
mixed,s,3
mixed,n,5
mixed,b,2
mixed,l,3
mixed,a,3
mixed,r,2
mixed,j,1
mixed,e,2
mixed,f,2
mixed,y,2
mixed,p,2
mixed,z,1

